,Name,Rarity,Price
0,Ally of Justice Catastor,Super Rare,2.94
1,Black Luster Soldier - Envoy of the Beginning,Super Rare,4.59
2,"Blaster, Dragon Ruler of Infernos",Secret Rare,12.99
3,Brotherhood of the Fire Fist - Bear,Super Rare,0.62
4,Gagaga Cowboy,Super Rare,3.59
5,"Karakuri Shogun mdl 00 ""Burei""",Super Rare,0.51
6,Number 40: Gimmick Puppet of Strings,Super Rare,0.66
7,Superdreadnought Rail Cannon Gustav Max,Super Rare,2.1
8,"Tidal, Dragon Ruler of Waterfalls",Secret Rare,8.09
9,Gear Gigant X,Super Rare,6.96
10,Number 50: Blackship of Corn,Super Rare,2.45
11,Number 88: Gimmick Puppet of Leo,Super Rare,0.99
12,Rank-Up-Magic Barian's Force,Super Rare,0.54
13,"Redox, Dragon Ruler of Boulders",Secret Rare,3.99
14,Spellbook of the Master,Super Rare,1.79
15,"Tempest, Dragon Ruler of Storms",Secret Rare,4.49
16,Thunder Sea Horse,Super Rare,1.8
17,Abyss-scale of the Mizuchi,Common,1.6
18,Aerial Recharge,Common,1.29
19,"Alpacaribou, Mystical Beast of the Forest",Common,1.33
20,"Alsei, the Sylvan High Protector",Ultra Rare,6.39
21,Angel of Zera,Secret Rare,3.74
22,Archfiend Cavalry,Rare,1.43
23,"Archfiend Emperor, the First Lord of Horror",Rare,1.35
24,Archfiend Giant,Rare,1.56
25,Archfiend Heiress,Rare,2.15
26,Archfiend Palabyrinth,Rare,2.16
27,"Armades, Keeper of Boundaries",Secret Rare,2.59
28,Armageddon Designator,Common,1.27
29,Baby Raccoon Ponpoko,Common,1.4
30,Baby Raccoon Tantan,Common,1.5
31,Battlin' Boxer Cheat Commissioner,Rare,1.45
32,Battlin' Boxer Counterpunch,Common,1.4
33,Battlin' Boxer Glassjaw,Common,1.43
34,Battlin' Boxer Headgeared,Common,1.34
35,Battlin' Boxer Lead Yoke,Rare,1.8
36,Battlin' Boxer Rabbit Puncher,Common,1.32
37,Battlin' Boxer Rib Gardna,Common,1.4
38,Battlin' Boxer Sparrer,Common,1.53
39,Battlin' Boxer Switchitter,Common,1.36
40,Battlin' Boxing Spirits,Super Rare,5.58
41,Black Dragon Collapserpent,Common,1.35
42,Brotherhood of the Fire Fist - Boar,Rare,1.82
